Valor_k,Resolução_original,Tamanho_original(KB),Quant_cores_iniciais,Resolução_Gerada,Tamanho_novo(KB),Quant_cores_final
1,667000,1316,133011,667000,1316,1
2,667000,1316,133011,667000,1316,2
3,667000,1316,133011,667000,1316,3
7,667000,1316,133011,667000,1316,7
10,667000,1316,133011,667000,1316,10
13,667000,1316,133011,667000,1316,13
15,667000,1316,133011,667000,1316,15
