Valor_k,Resolução_original,Tamanho_original(KB),Quant_cores_iniciais,Resolução_Gerada,Tamanho_novo(KB),Quant_cores_final
1,921600,1797,322880,921600,1797,1
2,921600,1797,322880,921600,1797,2
3,921600,1797,322880,921600,1797,3
7,921600,1797,322880,921600,1797,7
10,921600,1797,322880,921600,1797,10
13,921600,1797,322880,921600,1797,13
15,921600,1797,322880,921600,1797,15
