Valor_k,Resolução_original,Tamanho_original(KB),Quant_cores_iniciais,Resolução_Gerada,Tamanho_novo(KB),Quant_cores_final
1,3240000,6231,460728,3240000,6231,1
2,3240000,6231,460728,3240000,6231,2
3,3240000,6231,460728,3240000,6231,3
7,3240000,6231,460728,3240000,6231,7
10,3240000,6231,460728,3240000,6231,10
13,3240000,6231,460728,3240000,6231,13
15,3240000,6231,460728,3240000,6231,15
