Valor_k,Resolução_original,Tamanho_original(KB),Quant_cores_iniciais,Resolução_Gerada,Tamanho_novo(KB),Quant_cores_final
1,5511375,10279,476743,5511375,10279,1
2,5511375,10279,476743,5511375,10279,2
3,5511375,10279,476743,5511375,10279,3
7,5511375,10279,476743,5511375,10279,7
10,5511375,10279,476743,5511375,10279,10
13,5511375,10279,476743,5511375,10279,13
15,5511375,10279,476743,5511375,10279,15
