Valor_k,Resolução_original,Tamanho_original(KB),Quant_cores_iniciais,Resolução_Gerada,Tamanho_novo(KB),Quant_cores_final
1,2390400,4404,330222,2390400,4404,1
2,2390400,4404,330222,2390400,4404,2
3,2390400,4404,330222,2390400,4404,3
7,2390400,4404,330222,2390400,4404,7
10,2390400,4404,330222,2390400,4404,10
13,2390400,4404,330222,2390400,4404,13
15,2390400,4404,330222,2390400,4404,15
